"Temperature","Pressure","Humidity","Speed","Radiation"
"48","30.42","50","5.62","20"
"48","30.42","51","7.87","19.24"
"47","30.42","53","7.87","18.33"
"47","30.42","54","9","17.31"
"47","30.42","55","10.12","16.09"
"47","30.42","56","10.12","14.73"
"47","30.42","57","6.75","12.53"
"47","30.42","57","7.87","9.86"
"47","30.41","58","7.87","7.7"
"47","30.41","61","7.87","6.17"
"47","30.41","62","6.75","4.32"
"47","30.41","62","7.87","2.34"
"47","30.41","61","7.87","1.47"
"47","30.41","60","9","1.21"
"47","30.41","59","9","1.23"
"46","30.41","58","10.12","1.24"
"46","30.4","59","7.87","1.23"
"46","30.4","58","7.87","1.21"
"46","30.4","58","5.62","1.21"
"45","30.4","56","6.75","1.22"
"45","30.4","56","5.62","1.22"
"45","30.4","55","4.5","1.2"
"45","30.4","55","6.75","1.2"
"46","30.4","55","6.75","1.16"
"46","30.4","53","4.5","1.15"
"46","30.4","51","4.5","1.18"
"46","30.4","50","5.62","1.18"
"46","30.4","50","3.37","1.18"
"46","30.4","49","4.5","1.19"
"46","30.39","49","3.37","1.18"
"46","30.39","48","5.62","1.2"
"46","30.39","47","3.37","1.17"
"46","30.39","47","4.5","1.17"
"46","30.39","45","3.37","1.18"
"46","30.39","45","6.75","1.21"
"46","30.39","45","5.62","1.17"
"46","30.39","45","5.62","1.18"
"46","30.39","47","6.75","1.19"
"46","30.39","47","6.75","1.18"
"46","30.39","48","5.62","1.2"
"46","30.39","50","6.75","1.22"
"46","30.39","52","5.62","1.21"
"46","30.38","55","7.87","1.22"
"46","30.38","56","6.75","1.21"
"47","30.38","57","4.5","1.18"
"47","30.39","58","3.37","1.24"
"47","30.38","58","6.75","1.22"
"47","30.39","58","5.62","1.24"
"47","30.38","58","4.5","1.26"
"47","30.38","58","3.37","1.18"
"47","30.39","58","7.87","1.24"
"47","30.39","59","4.5","1.19"
"47","30.39","59","5.62","1.2"
"47","30.39","60","5.62","1.24"
"47","30.39","60","6.75","1.23"
"47","30.39","60","5.62","1.25"
"47","30.39","62","5.62","1.23"
"47","30.39","64","2.25","1.2"
"47","30.39","64","6.75","1.24"
"47","30.39","66","4.5","1.24"
"47","30.4","65","5.62","1.23"
"47","30.4","68","4.5","1.2"
"48","30.4","70","5.62","1.21"
"48","30.4","69","5.62","1.22"
"48","30.4","71","5.62","1.25"
"48","30.4","73","6.75","1.18"
"48","30.4","76","5.62","1.22"
"48","30.4","76","5.62","1.21"
"48","30.4","77","5.62","1.25"
"48","30.41","77","5.62","1.23"
"48","30.41","77","5.62","1.23"
"48","30.41","78","5.62","1.22"
"48","30.41","78","5.62","1.23"
"48","30.41","78","5.62","1.23"
"48","30.41","78","5.62","1.19"
"48","30.41","78","3.37","1.22"
"48","30.41","78","6.75","1.22"
"49","30.41","78","4.5","1.22"
"49","30.41","77","7.87","1.22"
"49","30.41","78","4.5","1.22"
"49","30.42","77","5.62","1.23"
"50","30.42","75","5.62","1.21"
"50","30.42","75","2.25","1.22"
"49","30.42","75","6.75","1.21"
"50","30.42","75","5.62","1.24"
"50","30.42","74","5.62","1.23"
"50","30.42","74","4.5","1.22"
"50","30.42","74","6.75","1.21"
"50","30.42","73","4.5","1.24"
"50","30.42","74","6.75","1.23"
"50","30.42","75","7.87","1.23"
"50","30.43","75","6.75","1.24"
"50","30.43","77","7.87","1.19"
"50","30.43","79","5.62","1.22"
"50","30.43","79","4.5","1.22"
"50","30.43","81","9","1.23"
"51","30.43","82","5.62","1.2"
"51","30.43","84","6.75","1.22"
"51","30.43","86","5.62","1.2"
"50","30.43","88","6.75","1.23"
"50","30.43","89","10.12","1.22"
"50","30.43","89","12.37","1.23"
"51","30.43","87","9","1.23"
"51","30.44","85","5.62","1.22"
"51","30.43","77","4.5","1.23"
"51","30.43","75","4.5","1.21"
"51","30.43","75","4.5","1.21"
"51","30.43","73","7.87","1.2"
"51","30.43","71","3.37","1.2"
"51","30.43","71","3.37","1.21"
"51","30.43","68","7.87","1.22"
"51","30.43","66","5.62","1.21"
"51","30.43","67","5.62","1.24"
"51","30.43","69","2.25","1.2"
"51","30.43","72","3.37","1.22"
"51","30.44","67","5.62","1.21"
"51","30.43","67","2.25","1.25"
"51","30.43","68","6.75","1.25"
"51","30.43","70","9","1.23"
"51","30.43","75","6.75","1.23"
"51","30.43","73","7.87","1.23"
"52","30.43","68","4.5","1.18"
"52","30.43","67","5.62","1.24"
"52","30.43","67","7.87","1.23"
"52","30.43","65","2.25","1.2"
"52","30.42","65","4.5","1.23"
"52","30.42","66","5.62","1.23"
"52","30.42","65","6.75","1.23"
"52","30.42","66","10.12","1.23"
"52","30.41","67","6.75","1.21"
"52","30.41","66","1.12","1.24"
"53","30.41","69","5.62","1.22"
"53","30.41","68","6.75","1.22"
"53","30.41","69","5.62","1.23"
"53","30.41","70","6.75","1.21"
"53","30.41","73","6.75","1.27"
"53","30.41","70","6.75","1.24"
"53","30.4","71","1.12","1.2"
"53","30.4","71","4.5","1.24"
"53","30.4","72","4.5","1.2"
"52","30.4","77","4.5","1.25"
"52","30.39","82","6.75","1.25"
"52","30.39","88","3.37","1.2"
"52","30.39","93","4.5","1.24"
"53","30.39","93","1.12","1.2"
"53","30.39","91","5.62","1.25"
"52","30.39","93","2.25","1.23"
"52","30.39","94","2.25","1.24"
"52","30.39","94","4.5","1.23"
"53","30.39","94","2.25","1.27"
"53","30.39","93","3.37","1.43"
"53","30.39","92","4.5","2.59"
"54","30.39","91","4.5","4.5"
"55","30.39","89","3.37","6.36"
"55","30.38","86","3.37","9.83"
"56","30.38","81","1.12","13.81"
"56","30.38","82","1.12","24.13"
"56","30.38","83","2.25","32.14"
"56","30.38","82","4.5","44.93"
"57","30.38","82","0","61"
"57","30.38","82","1.12","82.38"
"58","30.38","81","4.5","104.74"
"58","30.38","75","4.5","128.94"
"58","30.38","75","3.37","154.49"
"57","30.38","75","7.87","181.97"
"58","30.38","74","5.62","210.59"
"58","30.38","79","4.5","238.19"
"58","30.38","80","4.5","273.59"
"58","30.38","80","4.5","297.07"
"58","30.38","76","5.62","314.43"
"58","30.38","77","4.5","341.61"
"59","30.38","78","9","406.32"
"59","30.38","73","10.12","378.69"
"59","30.37","75","6.75","398.82"
"59","30.37","76","5.62","417.96"
"59","30.37","75","4.5","444.47"
"59","30.37","71","7.87","462.34"
"59","30.37","72","5.62","479.26"
"60","30.37","68","5.62","502.5"
"60","30.37","71","10.12","521.83"
"61","30.38","60","4.5","539.84"
"61","30.38","63","7.87","563.11"
"61","30.37","65","2.25","580.41"
"61","30.37","60","7.87","601.63"
"61","30.37","62","6.75","618.37"
"61","30.37","63","5.62","639.19"
"61","30.37","62","6.75","657.19"
"61","30.37","60","5.62","675.59"
"61","30.37","68","3.37","691.73"
"61","30.37","60","5.62","725.71"
"62","30.37","63","5.62","738.91"
"62","30.37","64","4.5","755.95"
"62","30.38","60","4.5","768.89"
"62","30.37","62","6.75","780.58"
"62","30.37","56","4.5","798.77"
"62","30.38","57","7.87","812.82"
"62","30.38","59","7.87","825.33"
"62","30.38","60","5.62","842.62"
"63","30.38","60","11.25","851.79"
"63","30.38","59","7.87","869.31"
"62","30.38","58","5.62","882.14"
"63","30.38","60","12.37","893.68"
"63","30.38","59","11.25","904.81"
"63","30.39","57","5.62","914.27"
"63","30.38","61","7.87","925.33"
"62","30.39","59","4.5","934.09"
"63","30.39","57","6.75","943.28"
"63","30.39","59","9","951.22"
"63","30.39","56","9","962.51"
"64","30.39","58","13.5","969.73"
"64","30.39","54","6.75","979.64"
"63","30.39","55","5.62","987.88"
"64","30.39","55","3.37","995.36"
"63","30.39","55","5.62","1000.69"
"63","30.39","53","6.75","1007.72"
"63","30.4","56","13.5","1009.68"
"63","30.4","55","6.75","1012.96"
"64","30.39","55","6.75","1014.42"
"64","30.4","53","11.25","1018.59"
"64","30.4","53","10.12","1021.35"
"64","30.4","52","13.5","1025.7"
"63","30.4","49","6.75","1026.5"
"63","30.4","51","4.5","1029.3"
"63","30.4","56","7.87","1026.44"
"63","30.4","53","5.62","1025.65"
"63","30.4","56","7.87","1027.27"
"64","30.4","53","12.37","1021.34"
"64","30.4","51","5.62","1021.43"
"64","30.41","52","5.62","1017.75"
"64","30.41","52","4.5","1017.9"
"64","30.41","51","10.12","1013.63"
"64","30.41","51","10.12","1008.62"
"64","30.41","50","5.62","1003.03"
"64","30.41","51","10.12","999.55"
"64","30.42","51","7.87","990.23"
"64","30.42","50","12.37","983.03"
"64","30.42","51","10.12","979.47"
"64","30.42","52","5.62","971.99"
"64","30.42","53","5.62","963.55"
"64","30.42","53","5.62","954.68"
"63","30.42","52","11.25","945.02"
"64","30.42","51","7.87","937.88"
"64","30.42","50","7.87","927.39"
"64","30.42","52","7.87","917.65"
"64","30.42","50","5.62","907.2"
"63","30.42","51","2.25","898.15"
"63","30.42","52","4.5","883.59"
"62","30.42","53","4.5","871.54"
"62","30.42","52","7.87","860.3"
"63","30.42","52","6.75","844.12"
"62","30.42","52","4.5","831.86"
"62","30.42","54","5.62","818.22"
"62","30.43","54","4.5","805.71"
"62","30.43","54","2.25","792.03"
"62","30.42","54","5.62","776.64"
"62","30.43","54","6.75","761.38"
"62","30.42","54","2.25","744.78"
"62","30.42","53","4.5","730.74"
"62","30.42","54","6.75","713.44"
"62","30.42","52","3.37","694.68"
"62","30.42","54","4.5","679.66"
"61","30.42","55","5.62","662.26"
"61","30.42","55","9","642.27"
"61","30.42","56","4.5","623.85"
"61","30.42","56","5.62","605.51"
"61","30.42","57","6.75","587.31"
"60","30.42","57","4.5","567"
"60","30.42","58","3.37","547.21"
"60","30.41","59","7.87","525.23"
"60","30.41","60","5.62","506.22"
"60","30.41","61","3.37","484.69"
"59","30.41","63","1.12","465.71"
"59","30.41","62","6.75","446.9"
"59","30.41","64","3.37","426.1"
"58","30.41","66","2.25","404.77"
"58","30.41","68","3.37","384"
"57","30.4","70","4.5","362.68"
"56","30.4","74","2.25","340.39"
"54","30.4","78","3.37","319.65"
"53","30.4","80","5.62","295.67"
"52","30.4","82","4.5","269.87"
"51","30.4","83","5.62","242.36"
"50","30.39","85","4.5","214.39"
"49","30.39","86","5.62","160.24"
"48","30.39","86","5.62","23.47"
"48","30.39","87","5.62","21.98"
"47","30.39","87","5.62","20.93"
"47","30.39","87","6.75","19.82"
"47","30.39","87","7.87","18.65"
"46","30.38","87","6.75","17.21"
"46","30.38","87","6.75","15.65"
"46","30.38","87","5.62","13.91"
"46","30.38","87","7.87","11.87"
"46","30.38","86","7.87","9.69"
"46","30.38","86","4.5","7.27"
"46","30.38","86","6.75","5.17"
"46","30.38","85","6.75","3.05"
"46","30.38","85","6.75","1.69"
"46","30.38","84","7.87","1.2"
"46","30.38","84","7.87","1.22"
"46","30.38","84","7.87","1.21"
"46","30.37","84","9","1.2"
"46","30.38","84","9","1.21"
"46","30.37","84","7.87","1.24"
"46","30.37","84","7.87","1.2"
"46","30.37","85","9","1.2"
"46","30.37","85","9","1.22"
"46","30.37","85","5.62","1.23"
"46","30.37","84","5.62","1.22"
"46","30.37","84","5.62","1.2"
"46","30.37","84","6.75","1.23"
"46","30.37","84","7.87","1.23"
"46","30.37","84","7.87","1.21"
"46","30.37","84","6.75","1.21"
"46","30.37","84","6.75","1.22"
"46","30.37","84","6.75","1.21"
"46","30.37","84","6.75","1.21"
"46","30.37","84","4.5","1.2"
"46","30.37","84","5.62","1.23"
"47","30.37","84","5.62","1.22"
"47","30.37","84","5.62","1.23"
"47","30.37","84","4.5","1.21"
"46","30.37","84","5.62","1.23"
"46","30.37","84","5.62","1.22"
"46","30.37","84","4.5","1.22"
"47","30.37","84","6.75","1.18"
"47","30.37","84","6.75","1.2"
"47","30.37","84","6.75","1.22"
"47","30.37","84","5.62","1.2"
"47","30.37","85","6.75","1.27"
"47","30.37","85","4.5","1.24"
"47","30.37","85","5.62","1.27"
"47","30.37","85","5.62","1.26"
"47","30.37","85","4.5","1.28"
"48","30.37","84","5.62","1.24"
"48","30.37","84","5.62","1.29"
"48","30.37","84","4.5","1.28"
"48","30.38","85","6.75","1.25"
"48","30.38","85","5.62","1.26"
"48","30.38","85","4.5","1.26"
"48","30.38","85","5.62","1.27"
"48","30.38","86","4.5","1.32"
"47","30.38","86","5.62","1.27"
"48","30.38","87","7.87","1.27"
"48","30.38","86","6.75","1.28"
"48","30.38","86","7.87","1.3"
"48","30.38","87","7.87","1.27"
"48","30.38","87","7.87","1.24"
"48","30.38","87","5.62","1.31"
"48","30.38","88","6.75","1.26"
"48","30.39","88","5.62","1.23"
"48","30.39","88","4.5","1.27"
"48","30.39","89","5.62","1.31"
"48","30.39","89","5.62","1.26"
"48","30.39","89","5.62","1.26"
"48","30.39","89","5.62","1.27"
"48","30.39","89","4.5","1.26"
"48","30.39","89","7.87","1.24"
"49","30.39","89","6.75","1.26"
"49","30.4","89","5.62","1.25"
"49","30.4","89","6.75","1.24"
"49","30.4","89","6.75","1.27"
"49","30.4","89","5.62","1.27"
"49","30.4","89","3.37","1.26"
"49","30.4","89","6.75","1.23"
"49","30.4","89","5.62","1.22"
"49","30.4","89","4.5","1.23"
"49","30.4","90","4.5","1.23"
"49","30.4","90","4.5","1.23"
"49","30.4","90","4.5","1.23"
"49","30.41","89","4.5","1.22"
"50","30.41","89","4.5","1.23"
"50","30.41","89","3.37","1.22"
"50","30.41","89","4.5","1.27"
"50","30.41","88","2.25","1.3"
"50","30.41","88","4.5","1.28"
"50","30.41","88","4.5","1.24"
"50","30.41","88","4.5","1.29"
"50","30.41","89","6.75","1.23"
"50","30.41","89","4.5","1.25"
"50","30.41","89","6.75","1.28"
"50","30.41","90","7.87","1.26"
"50","30.41","91","5.62","1.26"
"50","30.41","91","5.62","1.27"
"50","30.41","92","5.62","1.28"
"50","30.41","92","5.62","1.26"
"50","30.41","91","5.62","1.28"
"50","30.41","92","3.37","1.28"
"50","30.41","91","3.37","1.26"
"50","30.41","91","5.62","1.24"
"50","30.41","91","4.5","1.28"
"51","30.41","92","5.62","1.25"
"51","30.41","93","4.5","1.3"
"51","30.41","93","5.62","1.26"
"50","30.41","94","5.62","1.26"
"50","30.41","94","7.87","1.24"
"50","30.41","95","6.75","1.28"
"50","30.41","95","4.5","1.29"
"50","30.41","95","4.5","1.28"
"50","30.41","94","3.37","1.25"
"50","30.41","94","4.5","1.26"
"51","30.41","94","2.25","1.27"
"51","30.41","95","3.37","1.27"
"51","30.41","95","3.37","1.28"
"51","30.41","95","3.37","1.27"
"51","30.41","95","3.37","1.28"
"51","30.41","95","3.37","1.27"
"51","30.41","95","2.25","1.27"
"51","30.41","95","3.37","1.27"
"51","30.4","94","2.25","1.27"
"51","30.4","94","2.25","1.27"
"52","30.4","93","3.37","1.28"
"52","30.4","94","3.37","1.29"
"52","30.4","96","1.12","1.29"
"52","30.4","97","1.12","1.29"
"52","30.4","96","1.12","1.25"
"52","30.4","96","1.12","1.27"
"52","30.4","96","2.25","1.3"
"52","30.39","96","2.25","1.28"
"52","30.39","96","3.37","1.26"
"52","30.39","95","1.12","1.3"
"52","30.39","95","2.25","1.27"
"52","30.39","95","2.25","1.25"
"53","30.39","95","2.25","1.3"
"53","30.39","95","4.5","1.29"
"53","30.39","94","4.5","1.26"
"53","30.38","94","2.25","1.29"
"53","30.38","94","2.25","1.23"
"54","30.38","94","2.25","1.27"
"54","30.38","94","1.12","1.3"
"54","30.38","95","0","1.29"
"55","30.38","94","2.25","1.55"
"55","30.38","93","0","2.78"
"55","30.38","93","1.12","4.63"
"55","30.38","93","0","6.47"
"56","30.38","92","3.37","8.45"
"56","30.38","89","3.37","10.57"
"56","30.38","87","1.12","13.11"
"56","30.38","87","3.37","16.06"
"56","30.37","87","1.12","19.95"
"57","30.37","87","1.12","28.71"
"57","30.37","86","2.25","41.55"
"57","30.37","83","1.12","43.42"
"57","30.37","85","1.12","55.97"
"57","30.37","87","2.25","57.17"
"57","30.37","88","1.12","66.65"
"57","30.37","88","1.12","78.91"
"57","30.37","88","4.5","73.09"
"57","30.37","88","6.75","327.03"
"57","30.37","88","3.37","199.98"
"57","30.36","88","2.25","117.33"
"57","30.36","87","3.37","109.73"
"58","30.36","87","2.25","93.9"
"58","30.36","87","4.5","147.89"
"57","30.36","87","2.25","179.72"
"58","30.36","87","5.62","151.32"
"58","30.36","86","6.75","136.84"
"58","30.36","86","2.25","137.98"
"58","30.36","85","6.75","175.03"
"58","30.36","85","6.75","117.54"
"59","30.36","85","2.25","143.54"
"60","30.36","82","6.75","205.58"
"59","30.36","79","1.12","256.17"
"59","30.36","80","6.75","516.02"
"59","30.36","82","1.12","212.47"
"59","30.36","82","5.62","427.36"
"59","30.36","83","1.12","379.81"
"59","30.37","83","4.5","223.31"
"59","30.37","83","6.75","223.77"
"59","30.36","83","3.37","266.97"
"59","30.37","81","6.75","229.12"
"60","30.37","81","5.62","258.49"
"61","30.37","79","6.75","264.75"
"61","30.37","80","5.62","932.34"
"60","30.37","83","7.87","989.25"
"60","30.36","82","4.5","642.65"
"61","30.37","81","7.87","507.41"
"61","30.36","78","3.37","268.03"
"61","30.36","77","4.5","751.04"
"61","30.36","77","6.75","375.39"
"60","30.36","77","6.75","200.48"
"60","30.37","74","2.25","284.26"
"60","30.37","75","5.62","622.42"
"60","30.37","77","4.5","1021.37"
"60","30.37","77","5.62","330.28"
"59","30.37","78","3.37","325.24"
"59","30.37","81","4.5","311.73"
"59","30.37","81","4.5","306.01"
"59","30.37","83","4.5","293.37"
"59","30.37","79","7.87","227.36"
"59","30.37","81","2.25","136.09"
"59","30.37","82","3.37","161.71"
"60","30.37","82","4.5","170.98"
"60","30.38","83","5.62","189.56"
"60","30.38","79","4.5","243.04"
"60","30.38","82","4.5","479.91"
"60","30.38","81","5.62","355.71"
"60","30.39","79","4.5","262.32"
"60","30.39","82","3.37","267.67"
"60","30.39","80","5.62","331.66"
"60","30.39","81","9","263.4"
"61","30.39","79","6.75","281.78"
"61","30.39","78","1.12","251.31"
"61","30.39","77","10.12","251.39"
"61","30.39","76","9","349.41"
"62","30.4","73","13.5","457"
"64","30.4","71","11.25","417.61"
"63","30.4","70","5.62","1065.45"
"64","30.4","71","5.62","915.28"
"63","30.4","71","5.62","698.48"
"63","30.4","70","4.5","718.25"
"63","30.4","71","5.62","900.41"
"63","30.4","69","1.12","840.65"
"63","30.4","69","9","1387.17"
"62","30.4","70","5.62","1153.38"
"62","30.4","66","6.75","1148.24"
"63","30.4","67","6.75","669.1"
"63","30.4","71","7.87","1136.31"
"63","30.41","68","3.37","1298.4"
"62","30.41","71","2.25","1148.18"
"62","30.41","70","4.5","1146.34"
"62","30.41","66","6.75","1011.93"
"62","30.41","67","4.5","559.83"
"61","30.41","71","7.87","1041.63"
"60","30.41","71","4.5","1009.13"
"60","30.41","70","6.75","940.05"
"60","30.41","69","3.37","920.85"
"60","30.41","71","3.37","905.51"
"59","30.41","70","6.75","894.08"
"60","30.41","69","5.62","875.37"
"60","30.41","70","3.37","860.83"
"60","30.41","71","4.5","846.5"
"59","30.41","71","4.5","832.09"
"59","30.41","70","4.5","818.39"
"59","30.41","74","2.25","804.03"
"59","30.41","76","5.62","789.78"
"59","30.41","78","5.62","775.25"
"59","30.4","78","5.62","762.13"
"60","30.4","78","5.62","746.41"
"60","30.4","73","5.62","729.94"
"59","30.4","72","6.75","714.11"
"59","30.4","76","4.5","695.98"
"58","30.4","79","4.5","679.58"
"58","30.4","79","4.5","661.91"
"58","30.4","79","2.25","644.63"
"58","30.4","78","4.5","626.64"
"58","30.4","78","4.5","608.33"
"58","30.4","81","3.37","589.97"
"59","30.4","76","5.62","570.94"
"59","30.39","67","6.75","551.96"
"59","30.39","65","1.12","532.48"
"58","30.39","67","0","512.72"
"57","30.39","72","2.25","492.85"
"57","30.39","74","2.25","472.36"
"56","30.39","79","1.12","451.12"
"55","30.38","81","4.5","430.18"
"54","30.38","83","4.5","409.64"
"52","30.38","88","2.25","388.16"
"50","30.38","93","5.62","366.43"
"49","30.38","97","7.87","345.42"
"49","30.38","97","7.87","323.83"
"48","30.38","97","10.12","299.86"
"48","30.38","97","4.5","198.71"
"48","30.38","95","7.87","210.01"
"48","30.38","94","3.37","122.09"
"48","30.38","87","9","170.68"
"47","30.37","85","2.25","22.43"
"47","30.37","83","4.5","20.86"
"47","30.37","83","3.37","19.88"
"47","30.37","82","2.25","18.99"
"47","30.37","82","2.25","17.95"
"47","30.37","82","2.25","16.75"
"46","30.37","83","2.25","15.42"
"46","30.37","85","5.62","13.96"
"46","30.37","83","6.75","11.64"
